ID,ra,dec,F140W,F814W,F606W,z
303,53.12458000000000,-27.94239900000000,25.31704738241976,25.84783156379454,26.06849470829128,1.527900000000000
304,53.09271300000000,-27.94249300000000,26.57362475875198,29.16040282605012,29.06873259159275,2.302500000000000
305,53.13362500000000,-27.94202100000000,24.12665025457571,24.40129269897133,24.89106188436003,0.4384000000000000
306,53.10477100000000,-27.94245900000000,27.62984826928822,26.30110850903307,27.63308356851335,0.9653000000000000
309,53.13258800000000,-27.94238800000000,25.55384946659090,26.19710900764838,26.15763536924420,1.410400000000000
310,53.12922100000000,-27.94230400000000,24.90618376577694,26.10614177159927,26.64602299275229,1.247400000000000
313,53.12564700000000,-27.94231300000000,27.06525779906047,27.53719757935261,27.59294060679471,1.220200000000000
314,53.10054700000000,-27.94224500000000,25.50281081355487,26.79907202776639,26.55502331855698,1.303900000000000
315,53.10815800000000,-27.94223300000000,25.83717840245530,26.82976081314138,27.03019048208582,1.657600000000000
317,53.13151200000000,-27.94216200000000,27.01633278018387,26.97716457568608,27.32210912389657,1.156000000000000
318,53.09001300000000,-27.94197700000000,24.91716467680113,25.71052002188496,25.70992900409262,2.202500000000000
319,53.10788400000000,-27.94209500000000,27.04788680391989,26.68149537305176,26.69928108829224,0.2716000000000000
321,53.09314200000000,-27.94204500000000,25.11734006561185,26.13015424016024,26.01222987682043,2.119600000000000
322,53.10693900000000,-27.94125100000000,22.78571542995292,23.22269085267578,23.63151159364493,1.105390000000000
323,53.11235600000000,-27.94206300000000,26.55657953844172,26.99321400878459,26.90823497740340,1.592900000000000
325,53.12549600000000,-27.94152000000000,23.92476073744619,24.48518599171507,24.56414312821750,2.394200000000000
326,53.13005600000000,-27.94202800000000,25.98355220607977,25.93396685744475,26.47180114057847,0.9418000000000000
327,53.10272600000000,-27.94194000000000,25.35861729169191,26.00102093501095,26.72522227343674,0.8431999999999999
328,53.10685900000000,-27.94199100000000,26.47477859300886,27.62458702793905,26.86574654747004,1.589000000000000
331,53.09195000000000,-27.94189400000000,25.71496398876026,26.89582878932481,26.99010727079689,1.456200000000000
333,53.13190200000000,-27.94060900000000,22.76248359398691,23.00266607585777,23.33609207841878,0.08926000000000001
334,53.13219800000000,-27.94152600000000,24.38428362005521,24.92738613568259,25.76253767281416,0.9160000000000000
338,53.10695600000000,-27.94162200000000,25.54325779981610,26.05469187369934,27.08493172705659,1.068500000000000
339,53.12759900000000,-27.94176600000000,26.64851794908688,27.93437554589889,27.70607869420462,1.184300000000000
340,53.08926100000000,-27.93804100000000,20.37032421152254,21.60440165785019,22.71447277149656,0.6626000000000000
341,53.08986500000000,-27.94002800000000,21.94020173014290,23.69370130346508,24.58136991555480,1.390800000000000
342,53.09760600000000,-27.94131900000000,25.14938883083253,25.44744508257683,26.47321715352924,0.8920000000000000
344,53.09187200000000,-27.94163100000000,25.95267128995109,26.77521974807710,27.00542076667774,1.265000000000000
345,53.13428100000000,-27.94142400000000,24.96144132595793,24.80047099725505,25.27359677631839,0.7650000000000000
349,53.10401300000000,-27.94089700000000,23.88733134107913,25.05619397056217,25.24657763322242,1.289880000000000
352,53.12798700000000,-27.94138600000000,26.01731398079804,26.30514675851309,26.55104735570260,0.9903999999999999
354,53.09810100000000,-27.94122700000000,25.77168612916100,25.63795957805849,25.66346441244733,2.994200000000000
355,53.13012500000000,-27.94138700000000,25.60692570032306,26.27973066026752,26.11055647259341,1.202600000000000
357,53.09422700000000,-27.93957900000000,21.01796576942373,21.96103819845538,22.79351577641453,0.6782000000000000
360,53.10241900000000,-27.94134900000000,25.93029809052980,26.44026406757326,26.76729556272063,1.093100000000000
361,53.08952100000000,-27.93920100000000,22.97481744173185,22.86383696638703,23.20696207408840,0.9750000000000000
362,53.09487900000000,-27.94121000000000,24.94848779160724,27.75126950965467,30.22825141911944,1.665600000000000
364,53.13785600000000,-27.94110000000000,24.49579861909028,25.22493924678669,26.04921036873247,1.071700000000000
