ID,RA,DEC,REDMAG,MIDMAG,BLUEMAG
232,218.8046548000000,35.17079300000000,26.80620000000000,27.42500000000000,27.95630000000000
236,218.7998973000000,35.17089930000000,26.33490000000000,27.16080000000000,26.39710000000000
242,218.8081654000000,35.17130920000000,25.08660000000000,25.68330000000000,28.68910000000000
243,218.7977843000000,35.17083410000000,28.11610000000000,28.14970000000000,26.41910000000000
245,218.8085623000000,35.17100250000000,27.80470000000000,27.91530000000000,25.28200000000000
246,218.8041531000000,35.17120910000000,26.37640000000000,26.94050000000000,27.04900000000000
247,218.7865595000000,35.17147180000000,25.09200000000000,25.57500000000000,26.78310000000000
248,218.8116822000000,35.17123210000000,28.04490000000000,27.08270000000000,28.29200000000000
249,218.8064918000000,35.17112080000000,27.78530000000000,28.51600000000000,24.04520000000000
251,218.8090519000000,35.17116980000000,27.85480000000000,27.28710000000000,28.30900000000000
252,218.7873703000000,35.17120000000000,27.13070000000000,28.40100000000000,29.76360000000000
255,218.7906796000000,35.17122610000000,27.56510000000000,27.94520000000000,28.59410000000000
257,218.8032102000000,35.17164920000000,24.62330000000000,25.25940000000000,28.28870000000000
259,218.8059921000000,35.17151640000000,26.59130000000000,27.13800000000000,27.59130000000000
260,218.8033072000000,35.17161160000000,25.15940000000000,25.78450000000000,25.11330000000000
261,218.8039079000000,35.17198330000000,24.90950000000000,25.87380000000000,27.89710000000000
262,218.8004429000000,35.17203900000000,25.68600000000000,26.60920000000000,26.01320000000000
263,218.7932723000000,35.17184550000000,25.60100000000000,26.15610000000000,99.00000000000000
264,218.7933748000000,35.17167040000000,27.08410000000000,27.51200000000000,25.88250000000000
266,218.8077721000000,35.17168830000000,27.94060000000000,27.69790000000000,29.06610000000000
267,218.7939752000000,35.17234960000000,23.48190000000000,24.23000000000000,24.73280000000000
268,218.8109067000000,35.17165430000000,28.68500000000000,28.45480000000000,27.75880000000000
269,218.7977922000000,35.17200870000000,25.49450000000000,25.56760000000000,28.46660000000000
270,218.7886300000000,35.17179480000000,27.22010000000000,27.23940000000000,25.93820000000000
271,218.8042308000000,35.17162840000000,28.48280000000000,28.80290000000000,25.63710000000000
272,218.8025287000000,35.17197530000000,26.47930000000000,27.09990000000000,27.70920000000000
277,218.7990070000000,35.17179900000000,28.33270000000000,28.36580000000000,27.00350000000000
279,218.7950415000000,35.17188000000000,28.07790000000000,27.96590000000000,26.34210000000000
281,218.8005686000000,35.17194270000000,27.44430000000000,27.43200000000000,26.83930000000000
282,218.8041732000000,35.17215040000000,25.92950000000000,27.50250000000000,25.07760000000000
286,218.7906250000000,35.17219830000000,25.32140000000000,26.30840000000000,26.25080000000000
288,218.8049474000000,35.17206540000000,28.45730000000000,28.59560000000000,27.57000000000000
290,218.7922791000000,35.17208410000000,28.47000000000000,28.53940000000000,27.61040000000000
292,218.7938544000000,35.17338610000000,23.59950000000000,24.38050000000000,27.54420000000000
297,218.7968516000000,35.17221230000000,28.60850000000000,28.23150000000000,27.21300000000000
298,218.8110828000000,35.17276610000000,25.88590000000000,25.88530000000000,24.96650000000000
300,218.7905794000000,35.17261010000000,24.86280000000000,25.51360000000000,28.59940000000000
301,218.7910284000000,35.17306880000000,24.36790000000000,24.33120000000000,24.35430000000000
302,218.8056540000000,35.17235940000000,27.94160000000000,29.75130000000000,28.19150000000000
304,218.7858989000000,35.17293510000000,24.55100000000000,25.14050000000000,25.39630000000000
305,218.7965507000000,35.17267070000000,26.41370000000000,27.12310000000000,28.25710000000000
307,218.8031353000000,35.17251320000000,28.31490000000000,28.75200000000000,27.40040000000000
308,218.8053946000000,35.17266320000000,26.32120000000000,27.17500000000000,27.95810000000000
309,218.8109222000000,35.17378610000000,22.52710000000000,23.46760000000000,26.13370000000000
310,218.7962269000000,35.17256090000000,28.48690000000000,28.87850000000000,27.60190000000000
314,218.8077314000000,35.17277880000000,26.23820000000000,26.24220000000000,27.99120000000000
315,218.7895620000000,35.17265700000000,27.22400000000000,27.50830000000000,23.78080000000000
316,218.8039613000000,35.17333070000000,23.91520000000000,24.71330000000000,26.90840000000000
318,218.8108499000000,35.17313260000000,26.70710000000000,27.35130000000000,25.13460000000000
322,218.7755162000000,35.18404980000000,23.12340000000000,24.66870000000000,24.28780000000000
324,218.7971149000000,35.17305270000000,26.80860000000000,27.17130000000000,27.47400000000000
327,218.8028849000000,35.17308600000000,26.64200000000000,27.12630000000000,27.34910000000000
328,218.8061345000000,35.17303750000000,27.43560000000000,28.77820000000000,26.19350000000000
334,218.7814918000000,35.17396310000000,24.77730000000000,25.60660000000000,27.71740000000000
335,218.8055242000000,35.17327990000000,26.17320000000000,27.14700000000000,25.53190000000000
337,218.8018165000000,35.17319020000000,26.61520000000000,26.98120000000000,26.74420000000000
338,218.8124747000000,35.17318360000000,27.25490000000000,28.83940000000000,26.21210000000000
343,218.7815697000000,35.17366390000000,25.34890000000000,25.85800000000000,27.67050000000000
344,218.8104522000000,35.17335710000000,27.62470000000000,28.11530000000000,29.65450000000000
345,218.8015796000000,35.17483320000000,26.59430000000000,26.73330000000000,29.12090000000000
