ID,ra,dec,F_F140W,F_F775W,F_F606W,F_F435W,z
2081,189.2075520000000,62.13958600000000,27.21826132467962,28.75743386368931,28.49865676408883,NaN,0.9545000000000000
2082,189.1919170000000,62.14049200000000,21.44831787898828,23.01661573436361,24.26704291917046,26.31845256477915,0.7350000000000000
2083,189.2116120000000,62.13966200000000,24.66085514686551,26.04599900164717,26.32057560331858,26.25222632041247,1.601000000000000
2086,189.1508860000000,62.13970200000000,25.19304886308043,26.04925888273334,26.77113944931291,26.91192400389007,0.9152000000000000
2087,189.0570650000000,62.13954500000000,26.15910268929278,27.59082550874209,27.55613680157755,27.30718005591402,1.314500000000000
2090,189.1656780000000,62.13966900000000,26.96146793838715,26.99433788537080,27.65305044076924,27.98094259895856,1.231900000000000
2093,189.1103720000000,62.13970700000000,26.10699016993039,26.69900069060036,27.43834464765180,28.07279636415553,0.8717000000000000
2094,189.2234780000000,62.13973300000000,26.04730007058502,26.01082413596093,26.23025579839310,26.62976866829300,0.4343000000000000
2097,189.2109560000000,62.13993300000000,24.90043894294991,25.39457723424565,25.78918172710754,27.16773458503261,0.2188000000000000
2100,189.0833510000000,62.13971500000000,26.33556540526818,27.63682104623073,27.21005892636295,27.53715263714987,1.224200000000000
2101,189.1299300000000,62.14033400000000,22.92148275364892,23.31147787253981,23.65767037250043,24.64083561529078,0.3498600000000000
2102,189.1142160000000,62.13991500000000,25.15633566643013,25.46414457239632,25.73004466342654,28.25825737611553,3.690000000000000
2104,189.0467550000000,62.13975200000000,25.45156302257843,25.57796647167073,26.29612113301897,NaN,4.064800000000000
2107,189.1717740000000,62.13988900000000,25.34260793078501,25.62154623668760,26.45922270618433,26.94354694832496,0.7828000000000001
2109,189.1241200000000,62.14084000000000,23.00400706123228,23.61835196540911,24.30908736568277,24.56663217098524,0.9719000000000000
2110,189.0590090000000,62.13980200000000,28.32721940082393,27.60135900353715,27.34472071491508,28.23491334821412,1.489100000000000
2111,189.1751530000000,62.14029100000000,24.06210572698366,24.93384151021182,26.13614155580735,27.05596398440611,0.8203000000000000
2113,189.0708820000000,62.14052100000000,23.50047483704560,23.87053851502747,24.16933924196675,24.93254389202099,0.2846700000000000
2114,189.1428980000000,62.14067300000000,22.95681775241890,23.44002949273577,23.99604893619519,24.13086084286337,0.9563000000000000
2116,189.0842820000000,62.14100100000000,21.80021000275008,23.88827817481645,25.43366952132880,27.56483816598226,0.9347900000000000
2117,189.0369690000000,62.14099400000000,22.84521903201717,23.40692506057622,23.97081271228576,24.13373322260325,0.9714000000000000
2118,189.1048780000000,62.13993100000000,25.96464810319506,27.10242121537587,26.70233900407873,26.72982212344301,1.772800000000000
2122,189.1944630000000,62.14259300000000,19.89726963958620,21.12422318343986,21.84767240935913,22.36074867448598,0.9710000000000000
2123,189.0878610000000,62.13993600000000,26.37561382435381,27.04082910659995,26.84361718729896,26.86923910643402,1.718500000000000
2124,189.0730440000000,62.14105800000000,21.86815169215520,22.84442475375020,23.66675852478885,24.17005281334173,0.8340000000000000
